Age,Gender,Nationality,Occupation,Income_Bracket,Income_Numeric,Buy_Frequency,Monthly_Spend,Brand_Preferences,Influencer_Purchased,Platforms_Followed,Influencer_Tier,Ad_Formats_Engaged,Engagement_Level,Motivations,Skincare_Concerns,Online_Buying_Challenges,Influencer_1Month_Importance,Likelihood_Buy_Next_Month,Giveaway_Challenge_Participation,Willingness_to_Pay_More,Open_Feedback,Last_Brand_Purchased
25-34,Male,Indian,Employed part-time,10000-20000,6502.0,Once a month,298.0,"Dermatologist-recommended,Drugstore",Yes,"YouTube,Facebook,Instagram",Micro-influencer,"Long-form Video,Post,Story",Always,"Ingredients,Reviews","Aging/wrinkles,Sensitivity,Acne,Dryness",Too many choices,Very important,Likely,No,1–10%,,
45 or older,Female,Indian,Homemaker,20000-35000,7772.0,2–3 times a month,678.0,"K-beauty/J-beauty,Premium",No,"Instagram,YouTube",Micro-influencer,Reel/Short Video,Often,"Packaging/design,Reviews","Aging/wrinkles,Dryness,Hyperpigmentation,Sensitivity","Not sure if product suits me,Hard to judge authenticity,Too many choices",Important,Very likely,No,0% (none),,La Roche-Posay
35-44,Female,Other,Employed full-time,10000-20000,19351.0,Weekly,493.0,"Drugstore,International brands",Yes,Instagram,Macro-influencer,"Post,Story,Reel/Short Video",Often,"Ingredients,Reviews","Acne,Oily skin,Dryness",Lack of trust in reviews,Neutral,Neutral,No,0% (none),Show skincare routine without filters.,
25-34,Female,Indian,Employed part-time,<5000,5740.0,Once a month,790.0,"Drugstore,Premium,K-beauty/J-beauty,Local brands",No,"TikTok,YouTube",Micro-influencer,"Post,Blog/Article",Often,"Influencer recommendation,Ingredients","Hyperpigmentation,Acne","Not sure if product suits me,Prefer in-store experience",Important,Very unlikely,Maybe,0% (none),Share more honest reviews.,La Roche-Posay
18-24,Female,Indian,Employed full-time,<5000,20338.0,2–3 times a month,615.0,Drugstore,No,Snapchat,Macro-influencer,Long-form Video,Never,"Influencer recommendation,Ingredients",Oily skin,Lack of trust in reviews,Not important,Neutral,Yes,0% (none),Share more honest reviews.,La Roche-Posay
18-24,Female,British,Homemaker,5000-10000,2830.0,2–3 times a month,430.0,"International brands,Dermatologist-recommended,Premium,Drugstore",No,"Instagram,TikTok,YouTube",Micro-influencer,"Story,Reel/Short Video",Never,"Dermatologist advice,Friends/family recommendation","Sensitivity,Aging/wrinkles,Hyperpigmentation,Acne","Not sure if product suits me,Too many choices",Important,Neutral,Maybe,0% (none),,CeraVe
18-24,Female,Filipino,Unemployed,5000-10000,15497.0,Once a month,472.0,"International brands,K-beauty/J-beauty,Drugstore",Yes,"YouTube,Instagram",Micro-influencer,"Story,Reel/Short Video,Long-form Video",Never,"Reviews,Brand reputation","Aging/wrinkles,Acne,Dryness",Delivery issues,Neutral,Neutral,Yes,11–20%,,
35-44,Female,Egyptian,Student,5000-10000,18928.0,Less than once a month,586.0,"Dermatologist-recommended,K-beauty/J-beauty",Yes,"Instagram,YouTube",Micro-influencer,Post,Never,"Reviews,Dermatologist advice","Oily skin,Acne",Prefer in-store experience,Somewhat important,Likely,Yes,0% (none),,
25-34,Male,Emirati,Employed part-time,10000-20000,3806.0,Less than once a month,176.0,International brands,No,"TikTok,Facebook,YouTube",Micro-influencer,"Post,Live Stream,Story",Sometimes,"Packaging/design,Influencer recommendation","Hyperpigmentation,Acne,Aging/wrinkles,Oily skin",Lack of trust in reviews,Neutral,Likely,Yes,0% (none),Include more before-and-after photos.,Cetaphil
35-44,Female,Filipino,Student,<5000,7065.0,Once a month,432.0,Local brands,No,"Instagram,Facebook",Micro-influencer,Post,Rarely,"Discounts/offers,Reviews","Oily skin,Other,Dryness",Prefer in-store experience,Very important,Neutral,Yes,0% (none),,
Under 18,Male,Emirati,Employed full-time,<5000,3628.0,2–3 times a month,5394.0,"Drugstore,Organic/Natural,Premium",No,"YouTube,TikTok",Micro-influencer,"Long-form Video,Story,Post",Often,"Packaging/design,Discounts/offers",Oily skin,"Hard to judge authenticity,Not sure if product suits me",Important,Very likely,Maybe,0% (none),,
45 or older,Prefer not to say,Emirati,Employed full-time,5000-10000,13036.0,Weekly,347.0,"Local brands,Drugstore,Organic/Natural",Yes,"Instagram,TikTok",Macro-influencer,Blog/Article,Sometimes,"Ingredients,Friends/family recommendation","Sensitivity,Oily skin,Hyperpigmentation","Not sure if product suits me,Lack of trust in reviews",Very important,Likely,Yes,0% (none),,CeraVe
35-44,Female,Other,Employed full-time,10000-20000,8898.0,Weekly,547.0,Dermatologist-recommended,No,"TikTok,YouTube",Micro-influencer,"Reel/Short Video,Post",Often,"Friends/family recommendation,Discounts/offers","Hyperpigmentation,Acne,Oily skin","Delivery issues,Lack of trust in reviews,Not sure if product suits me",Important,Very likely,No,21–30%,Share more honest reviews.,
18-24,Male,Indian,Employed full-time,5000-10000,11079.0,Once a month,399.0,"International brands,Premium",Yes,"Snapchat,Facebook,TikTok",Macro-influencer,"Post,Live Stream,Reel/Short Video",Often,"Ingredients,Brand reputation","Aging/wrinkles,Acne,Hyperpigmentation",Delivery issues,Very important,Very likely,Yes,1–10%,Share more honest reviews.,
18-24,Female,Filipino,Employed part-time,10000-20000,3969.0,Once a month,915.0,Drugstore,Yes,"YouTube,Instagram",Macro-influencer,"Blog/Article,Post",Rarely,"Dermatologist advice,Influencer recommendation","Hyperpigmentation,Sensitivity,Acne",Lack of trust in reviews,Neutral,Unlikely,Maybe,Over 30%,,Glow Recipe
18-24,Female,Filipino,Employed full-time,5000-10000,4141.0,Once a month,636.0,"K-beauty/J-beauty,Dermatologist-recommended",Yes,Instagram,Macro-influencer,Post,Rarely,"Reviews,Discounts/offers","Oily skin,Acne","Lack of trust in reviews,Hard to judge authenticity",Very important,Likely,Maybe,0% (none),Share more honest reviews.,
18-24,Male,Indian,Business owner,20000-35000,2381.0,Once a month,479.0,Dermatologist-recommended,Yes,"Facebook,Instagram,YouTube",Celebrity influencer,"Blog/Article,Reel/Short Video",Sometimes,"Influencer recommendation,Discounts/offers","Sensitivity,Oily skin,Dryness,Hyperpigmentation",Lack of trust in reviews,Neutral,Neutral,Yes,11–20%,Include more before-and-after photos.,CeraVe
25-34,Female,Other,Employed full-time,20000-35000,5498.0,2–3 times a month,1582.0,"Drugstore,Dermatologist-recommended",No,Instagram,Micro-influencer,"Long-form Video,Reel/Short Video,Post",Often,"Ingredients,Discounts/offers","Hyperpigmentation,Oily skin",Too many choices,Somewhat important,Very likely,Yes,1–10%,Share more honest reviews.,
25-34,Female,Emirati,Student,5000-10000,9384.0,2–3 times a month,551.0,Drugstore,Yes,"Instagram,YouTube",Micro-influencer,Reel/Short Video,Sometimes,"Ingredients,Influencer recommendation","Hyperpigmentation,Dryness,Other,Oily skin","Not sure if product suits me,Hard to judge authenticity",Very important,Likely,Yes,1–10%,Use less retouching in photos.,
18-24,Male,Pakistani,Homemaker,5000-10000,19563.0,Once a month,775.0,"Drugstore,Premium",No,"Instagram,Snapchat",Macro-influencer,Post,Rarely,"Dermatologist advice,Friends/family recommendation",Sensitivity,Not sure if product suits me,Very important,Unlikely,Yes,0% (none),Show skincare routine without filters.,Cetaphil
