Age,Gender,Income,Education,Nationality,MonthlySpend,PurchaseFreq,PlatformsUsed,MainInfluencerTier,AdFormat,InfluencerCount,MostTrustedPlatform,PurchasedFromInfluencer,WouldRecommend,PurchaseChallenge,InfluencerContentType,WillingnessToTry,WillingnessToPayExtra,MarketingEffectiveness,OnlineCommunityMember,BiggestTurnoff,DiscoveryChannel,PurchaseTimeAfterAd,PurchaseInfluencingFactors
34,Male,5-10k,Bachelors,Expat-Arab,100-250,Monthly,"YouTube, Facebook, Snapchat",Celebrity,Reel,4-7,Snapchat,No,No,NotSure,Story,Likely,1-10%,SomewhatEffective,No,Unrelatable,Ads,Week,"Reviews, Ingredients"
30,Male,<5k,HighSchool,Expat-Arab,250-500,Weekly,TikTok,Micro,Story,4-7,TikTok,Yes,Yes,TooManyOptions,Story,VeryLikely,1-10%,SomewhatEffective,Yes,Overpromo,FriendsFamily,Immediate,"Friends, Influencer"
35,Female,<5k,Bachelors,Expat-Arab,100-250,Quarterly,Facebook,Macro,Reel,1-3,Facebook,Yes,Yes,TooManyOptions,Post,VeryUnlikely,No,SomewhatEffective,No,Inauthentic,Ads,Week,"Price, Brand"
41,Female,5-10k,Masters,Expat-Asian,<100,Monthly,"TikTok, YouTube, Snapchat",Mega,Post,1-3,Snapchat,Yes,Yes,TooManyOptions,Reel,Likely,No,Neutral,No,Repetitive,FriendsFamily,Week,"Price, Brand"
29,Male,20-30k,Bachelors,Emirati,250-500,Quarterly,"TikTok, Instagram",Micro,Story,None,Instagram,No,No,NotSure,"Reel, Video",Neutral,No,SomewhatEffective,No,Repetitive,FriendsFamily,Week,"Price, Brand"
29,Female,10-20k,Doctorate,Expat-Western,<100,Monthly,Snapchat,Celebrity,Reel,1-3,Snapchat,Yes,Yes,NotTrusted,Video,VeryLikely,1-10%,Neutral,No,Inauthentic,SocialMedia,Later,"Reviews, Brand"
42,Male,10-20k,Bachelors,Expat-Asian,250-500,Monthly,TikTok,Celebrity,Post,1-3,TikTok,No,No,TooManyOptions,"Video, Reel",Likely,26-50%,HighlyEffective,No,Inauthentic,SocialMedia,Month,"Price, Ingredients"
36,Female,5-10k,Bachelors,Expat-Asian,500-1000,Quarterly,Snapchat,Mega,Reel,1-3,Snapchat,No,No,TooManyOptions,"Reel, Story, Video",Likely,1-10%,HighlyEffective,Yes,Unrelatable,SocialMedia,Week,"Ingredients, Friends"
27,Female,30k+,Bachelors,Expat-Western,100-250,Monthly,"Instagram, Snapchat, YouTube",Micro,Reel,1-3,YouTube,Yes,Yes,TooManyOptions,"Video, Post, Story",VeryLikely,No,SomewhatEffective,No,None,FriendsFamily,Week,"Reviews, Price"
34,Female,5-10k,Bachelors,Emirati,250-500,Monthly,Instagram,Macro,Reel,1-3,Instagram,No,No,NotTrusted,"Story, Post",Likely,No,NotEffective,No,Repetitive,OnlineSearch,Week,"Brand, Reviews"
27,Female,<5k,Bachelors,Expat-Asian,100-250,Monthly,"TikTok, Facebook, Snapchat",Mega,Story,None,Facebook,No,No,NotTrusted,"Video, Reel",VeryLikely,No,Neutral,No,Inauthentic,InStore,Later,"Reviews, Influencer"
27,Female,10-20k,HighSchool,Expat-Asian,100-250,Monthly,"TikTok, Facebook, YouTube",Celebrity,Story,None,YouTube,Yes,Yes,NotTrusted,"Video, Post, Reel",Neutral,1-10%,NotEffective,No,Overpromo,Ads,Month,"Influencer, Reviews"
32,Male,<5k,Bachelors,Expat-Western,500-1000,Monthly,"Facebook, YouTube, TikTok",Micro,Reel,None,TikTok,Yes,Yes,NotSure,Video,Neutral,1-10%,SomewhatEffective,Yes,Overpromo,InStore,Week,"Ingredients, Brand"
18,Female,5-10k,Bachelors,Expat-Asian,500-1000,Quarterly,Instagram,Mega,Story,None,Instagram,No,No,NotSure,"Post, Reel, Video",VeryLikely,No,Neutral,No,Repetitive,Ads,Month,"Price, Brand"
18,Male,10-20k,Bachelors,Expat-Arab,100-250,Monthly,"Snapchat, Instagram, TikTok",Micro,Reel,None,TikTok,No,No,TooManyOptions,Story,Unlikely,1-10%,SomewhatEffective,No,Repetitive,SocialMedia,Month,"Ingredients, Price"
27,Female,20-30k,Bachelors,Expat-Western,250-500,Monthly,"Instagram, Facebook",Micro,Story,1-3,Instagram,Yes,Yes,NotSure,Story,VeryLikely,No,SomewhatEffective,Yes,Unrelatable,OnlineSearch,Immediate,"Brand, Friends"
23,Female,10-20k,Bachelors,Emirati,500-1000,Quarterly,YouTube,Macro,Post,1-3,YouTube,Yes,Yes,Expensive,"Post, Video",Likely,No,HighlyEffective,Yes,Inauthentic,SocialMedia,Month,"Influencer, Brand"
33,Female,10-20k,HighSchool,Expat-Western,1000+,Monthly,TikTok,Mega,Post,8+,TikTok,Yes,No,HardToFind,"Post, Reel",Neutral,No,SomewhatEffective,No,None,FriendsFamily,Month,"Price, Friends"
24,Female,30k+,Bachelors,Other,250-500,Monthly,Instagram,Macro,Post,1-3,Instagram,Yes,No,NotTrusted,"Video, Post, Reel",Likely,No,SomewhatEffective,No,Unrelatable,OnlineSearch,Immediate,"Brand, Ingredients"
21,Female,<5k,Bachelors,Expat-Arab,100-250,Rarely,YouTube,Macro,Story,None,YouTube,Yes,Yes,HardToFind,"Reel, Video, Story",Likely,No,SomewhatEffective,No,None,FriendsFamily,Month,"Price, Brand"
41,Female,5-10k,Bachelors,Expat-Asian,100-250,Quarterly,Instagram,Celebrity,Reel,1-3,Instagram,No,Yes,NotTrusted,"Video, Story",VeryLikely,No,SomewhatEffective,No,Unrelatable,FriendsFamily,Month,"Ingredients, Influencer"
29,Female,5-10k,HighSchool,Emirati,1000+,Monthly,"Snapchat, YouTube, TikTok",Macro,Reel,4-7,Snapchat,No,No,TooManyOptions,"Reel, Story, Post",Unlikely,11-25%,HighlyEffective,No,Repetitive,OnlineSearch,Month,"Brand, Ingredients"
31,Male,5-10k,Masters,Expat-Arab,<100,Quarterly,"Snapchat, Facebook, YouTube",Macro,Post,1-3,Snapchat,Yes,Yes,HardToFind,"Post, Reel",Neutral,1-10%,SomewhatEffective,No,Repetitive,InStore,Week,"Influencer, Brand"
21,Male,5-10k,Masters,Expat-Asian,250-500,Weekly,YouTube,Macro,Video,1-3,YouTube,No,No,TooManyOptions,"Video, Reel",VeryLikely,1-10%,HighlyEffective,No,Overpromo,OnlineSearch,Month,"Ingredients, Price"
27,Male,20-30k,Bachelors,Expat-Asian,100-250,Monthly,"Snapchat, TikTok, Instagram",Macro,Story,1-3,Snapchat,No,No,Expensive,"Video, Post, Reel",Likely,11-25%,NotEffective,No,None,OnlineSearch,Month,"Friends, Reviews"
31,Male,10-20k,HighSchool,Expat-Western,100-250,Monthly,TikTok,Macro,Video,1-3,TikTok,Yes,Yes,NotSure,Reel,Unlikely,No,HighlyEffective,No,Inauthentic,InStore,Month,"Price, Ingredients"
22,Female,10-20k,Masters,Expat-Asian,100-250,Monthly,"Facebook, YouTube, TikTok",Celebrity,Reel,1-3,YouTube,Yes,Yes,NotSure,Reel,Neutral,26-50%,SomewhatEffective,Yes,Repetitive,SocialMedia,Month,"Ingredients, Friends"
